period,패션의류,패션잡화,화장품_미용,디지털_가전,가구_인테리어,출산_육아,식품,스포츠_레저,생활_건강,여가_생활편의,도서
2025-11-03,57.3187,45.1214,19.1458,43.8791,27.9987,42.6633,39.8867,34.1480,82.2637,9.8356,12.4797
2025-11-10,55.4868,44.4648,17.9991,43.5297,27.4657,41.4863,37.8445,32.6702,81.0201,9.6781,12.2430
2025-11-17,58.2082,43.6662,17.4343,41.6948,27.0271,43.9613,36.6283,32.7662,79.2696,9.4328,12.5290
2025-11-24,52.9410,42.1208,16.9118,39.8937,26.3689,40.0528,36.0909,29.1546,78.0962,9.5600,13.0432
2025-12-01,54.8079,45.6203,18.2993,41.1027,26.9249,47.2366,37.6764,31.3319,82.2285,9.9518,12.4713
2025-12-08,49.0051,42.4964,16.6992,40.0446,26.2149,42.9050,37.9014,26.8986,80.0523,9.5519,12.0278
2025-12-15,42.8652,38.9988,15.3547,38.6876,24.4878,40.6593,37.5908,23.9199,75.5028,9.2239,10.9020
2025-12-22,38.4097,37.1060,14.4813,37.3335,22.8941,32.9367,34.3098,22.8486,69.1805,9.5583,9.6030
2025-12-29,35.9297,35.6883,14.9984,38.5821,23.0337,27.7611,34.3689,22.3852,69.5534,9.2438,10.5664
2026-01-05,34.8321,35.3268,15.8659,40.7047,23.5374,29.2251,38.3486,22.5173,72.5059,8.6669,10.7819
2026-01-12,32.1633,33.8773,15.3868,39.6652,23.0562,27.9216,37.7639,21.1725,70.0071,8.2703,9.6532
2026-01-19,29.1045,31.7307,13.7609,37.3368,21.3288,24.5659,34.9887,19.8829,64.1302,7.4533,8.0147
2026-01-26,26.8919,30.2752,13.5539,37.7097,21.0648,23.8912,35.7672,18.6428,63.3406,7.2587,7.5841
2026-02-02,25.5393,29.1478,13.2354,35.5571,20.8620,24.5918,38.7073,17.9614,63.8052,7.2263,7.6317
2026-02-09,22.5534,26.9597,11.7896,33.3588,18.4757,21.9002,35.0377,15.9022,57.4514,6.6314,6.8471
2026-02-16,26.1121,30.5374,12.1366,34.5493,19.3610,23.2464,25.9027,16.9764,56.6246,6.6353,6.5244
2026-02-23,24.6062,28.8880,12.0005,35.4227,19.2888,24.5541,27.1297,17.3513,59.5532,6.4417,7.4969
2026-03-02,25.4330,29.0293,12.3145,35.9168,19.3184,25.8029,27.2916,17.7991,58.7145,5.7906,11.5722
2026-03-09,25.8416,29.0102,11.8879,35.5200,19.2531,24.7281,29.2751,18.7149,59.0982,5.6918,9.8349
2026-03-16,25.4162,27.7516,11.2737,33.0508,18.2325,23.1467,27.2668,18.5718,57.1925,5.6261,7.7411
2026-03-23,24.4760,26.4370,10.8767,31.2878,17.0762,22.7260,26.0684,18.7395,56.2093,5.3063,6.9384
2026-03-30,23.3488,26.1876,10.9696,31.0145,16.9877,22.1691,25.7168,18.9733,55.8285,5.0777,6.4376
2026-04-06,22.5340,26.8814,11.1842,31.3169,17.2669,22.2552,26.5308,19.4374,56.4036,5.0425,6.4742
2026-04-13,22.5436,26.7715,10.9315,30.7561,16.5851,23.1834,25.2418,19.5886,53.6386,4.9027,5.8874
2026-04-20,23.4551,30.2609,12.0948,34.4788,18.9040,26.4523,28.8754,22.5012,61.1163,5.7669,6.3365
2026-04-27,19.0689,25.6517,10.2662,29.3380,15.8985,22.8664,24.7077,19.1799,51.7557,5.5640,5.2495
2026-05-04,19.4469,26.5880,10.5894,30.1503,15.8939,21.7647,24.7209,19.9472,51.7446,4.8666,5.1211
2026-05-11,20.0784,25.6009,10.2185,30.3675,15.8837,21.0663,23.7797,19.6406,50.5892,3.9331,4.8563
2026-05-18,19.1495,25.2330,9.7497,29.6979,15.6838,20.2127,22.3646,19.1328,49.5154,3.8669,4.6425
2026-05-25,19.6212,25.6603,10.1693,30.1836,15.8807,20.1727,21.8503,19.7155,49.5125,3.7102,4.6253
2026-06-01,18.8002,24.5195,10.3328,29.3531,15.5505,19.3299,21.6913,19.1023,48.3829,3.8032,4.2962
2026-06-08,17.9712,24.0576,9.4447,30.6045,15.0642,18.5740,22.3279,19.0010,49.0575,3.5444,4.2770
2026-06-15,12.5588,16.8848,6.6457,21.7481,10.7760,13.0175,16.4504,13.6381,35.7535,2.5532,3.0931
